"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
9.3,0.5,0.36,1.8,0.084,6,17,0.99704,3.27,0.77,10.8,6
7.4,0.39,0.48,2,0.082,14,67,0.9972,3.34,0.55,9.2,5
6.8,0.61,0.2,1.8,0.077,11,65,0.9971,3.54,0.58,9.3,5
8,0.52,0.03,1.7,0.07,10,35,0.99575,3.34,0.57,10,5
6.9,1.09,0.06,2.1,0.061,12,31,0.9948,3.51,0.43,11.4,4
7.7,0.62,0.04,3.8,0.084,25,45,0.9978,3.34,0.53,9.5,5
7.7,0.6,0.06,2,0.079,19,41,0.99697,3.39,0.62,10.1,6
4.9,0.42,0,2.1,0.048,16,42,0.99154,3.71,0.74,14,7
11.2,0.66,0.24,2.5,0.085,16,53,0.9993,3.06,0.72,11,6
7.4,0.785,0.19,5.2,0.094,19,98,0.99713,3.16,0.52,9.56666666666667,6
5.2,0.32,0.25,1.8,0.103,13,50,0.9957,3.38,0.55,9.2,5
8,0.83,0.27,2,0.08,11,63,0.99652,3.29,0.48,9.8,4
7.2,0.58,0.03,2.3,0.077,7,28,0.99568,3.35,0.52,10,5
7.6,0.51,0.15,2.8,0.11,33,73,0.9955,3.17,0.63,10.2,6
6.9,0.41,0.33,2.2,0.081,22,36,0.9949,3.41,0.75,11.1,6
10.6,0.28,0.39,15.5,0.069,6,23,1.0026,3.12,0.66,9.2,5
8.8,0.46,0.45,2.6,0.065,7,18,0.9947,3.32,0.79,14,6
7,0.805,0,2.5,0.068,7,20,0.9969,3.48,0.56,9.6,5
8.7,0.675,0.1,1.6,0.09,4,11,0.99745,3.31,0.65,9.55,5
7.1,0.43,0.17,1.8,0.082,27,51,0.99634,3.49,0.64,10.4,5
8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,6
8.8,0.66,0.26,1.7,0.074,4,23,0.9971,3.15,0.74,9.2,5
9.1,0.45,0.35,2.4,0.08,23,78,0.9987,3.38,0.62,9.5,5
7.4,0.635,0.1,2.4,0.08,16,33,0.99736,3.58,0.69,10.8,7
7,0.655,0.16,2.1,0.074,8,25,0.99606,3.37,0.55,9.7,5
6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5,5
9,0.46,0.31,2.8,0.093,19,98,0.99815,3.32,0.63,9.5,6
7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,6
9.1,0.47,0.49,2.6,0.094,38,106,0.9982,3.08,0.59,9.1,5
7.1,0.66,0,3.9,0.086,17,45,0.9976,3.46,0.54,9.5,5
7.9,0.18,0.4,1.8,0.062,7,20,0.9941,3.28,0.7,11.1,5
6.6,0.58,0,2.2,0.1,50,63,0.99544,3.59,0.68,11.4,6
10.7,0.52,0.38,2.6,0.066,29,56,0.99577,3.15,0.79,12.1,7
6.9,0.765,0.18,2.4,0.243,5.5,48,0.99612,3.4,0.6,10.3,6
8.5,0.32,0.42,2.3,0.075,12,19,0.99434,3.14,0.71,11.8,7
7.6,0.36,0.31,1.7,0.079,26,65,0.99716,3.46,0.62,9.5,6
12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,7
6.4,0.36,0.21,2.2,0.047,26,48,0.99661,3.47,0.77,9.7,6
7.3,0.49,0.1,2.6,0.068,4,14,0.99562,3.3,0.47,10.5,5
7,0.43,0.3,2,0.085,6,39,0.99346,3.33,0.46,11.9,6
8.2,0.24,0.34,5.1,0.062,8,22,0.9974,3.22,0.94,10.9,6
5.8,0.61,0.11,1.8,0.066,18,28,0.99483,3.55,0.66,10.9,6
7.7,0.915,0.12,2.2,0.143,7,23,0.9964,3.35,0.65,10.2,7
7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,5
5.9,0.44,0,1.6,0.042,3,11,0.9944,3.48,0.85,11.7,6
9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,5
9.1,0.5,0.3,1.9,0.065,8,17,0.99774,3.32,0.71,10.5,6
7.2,0.39,0.44,2.6,0.066,22,48,0.99494,3.3,0.84,11.5,6
8,0.52,0.25,2,0.078,19,59,0.99612,3.3,0.48,10.2,5
8.1,0.825,0.24,2.1,0.084,5,13,0.9972,3.37,0.77,10.7,6
9,0.82,0.05,2.4,0.081,26,96,0.99814,3.36,0.53,10,5
10.6,0.31,0.49,2.2,0.063,18,40,0.9976,3.14,0.51,9.8,6
6.2,0.56,0.09,1.7,0.053,24,32,0.99402,3.54,0.6,11.3,5
5.3,0.47,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.5666666666667,7
7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,5
6.2,0.785,0,2.1,0.06,6,13,0.99664,3.59,0.61,10,4
6.6,0.64,0.31,6.1,0.083,7,49,0.99718,3.35,0.68,10.3,5
8.4,0.56,0.04,2,0.082,10,22,0.9976,3.22,0.44,9.6,5
11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,6
6.6,0.61,0.01,1.9,0.08,8,25,0.99746,3.69,0.73,10.5,5
9.5,0.37,0.52,2,0.082,6,26,0.998,3.18,0.51,9.5,5
8.8,0.3,0.38,2.3,0.06,19,72,0.99543,3.39,0.72,11.8,6
7.4,0.61,0.01,2,0.074,13,38,0.99748,3.48,0.65,9.8,5
6,0.51,0,2.1,0.064,40,54,0.995,3.54,0.93,10.7,6
6.6,0.5,0.04,2.1,0.068,6,14,0.9955,3.39,0.64,9.4,6
6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,5
7.6,0.52,0.12,3,0.067,12,53,0.9971,3.36,0.57,9.1,5
8.3,0.78,0.1,2.6,0.081,45,87,0.9983,3.48,0.53,10,5
8.5,0.46,0.31,2.25,0.078,32,58,0.998,3.33,0.54,9.8,5
6.8,0.59,0.1,1.7,0.063,34,53,0.9958,3.41,0.67,9.7,5
7,0.56,0.13,1.6,0.077,25,42,0.99629,3.34,0.59,9.2,5
7.8,0.58,0.13,2.1,0.102,17,36,0.9944,3.24,0.53,11.2,6
8.2,0.28,0.6,3,0.104,10,22,0.99828,3.39,0.68,10.6,5
11.5,0.31,0.51,2.2,0.079,14,28,0.9982,3.03,0.93,9.8,6
7.4,0.635,0.1,2.4,0.08,16,33,0.99736,3.58,0.69,10.8,7
9.4,0.5,0.34,3.6,0.082,5,14,0.9987,3.29,0.52,10.7,6
8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,6
9.3,0.715,0.24,2.1,0.07,5,20,0.9966,3.12,0.59,9.9,5
6.3,0.39,0.08,1.7,0.066,3,20,0.9954,3.34,0.58,9.4,5
8.2,0.43,0.29,1.6,0.081,27,45,0.99603,3.25,0.54,10.3,5
8.1,0.66,0.22,2.2,0.069,9,23,0.9968,3.3,1.2,10.3,5
7.4,0.6,0.26,7.3,0.07,36,121,0.9982,3.37,0.49,9.4,5
10.4,0.26,0.48,1.9,0.066,6,10,0.99724,3.33,0.87,10.9,6
8,0.18,0.37,0.9,0.049,36,109,0.99007,2.89,0.44,12.7,6
7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5
7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,6
8,0.6,0.22,2.1,0.08,25,105,0.99613,3.3,0.49,9.9,5
9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,5
8,0.18,0.37,0.9,0.049,36,109,0.99007,2.89,0.44,12.7,6
9.1,0.52,0.33,1.3,0.07,9,30,0.9978,3.24,0.6,9.3,5
7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,5
8.8,0.7,0,1.7,0.069,8,19,0.99701,3.31,0.53,10,6
8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,6
7.5,0.53,0.06,2.6,0.086,20,44,0.9965,3.38,0.59,10.7,6
8,0.77,0.32,2.1,0.079,16,74,0.99656,3.27,0.5,9.8,6
11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,6
11.8,0.33,0.49,3.4,0.093,54,80,1.0002,3.3,0.76,10.7,7
9.8,0.98,0.32,2.3,0.078,35,152,0.998,3.25,0.48,9.4,5
8,0.28,0.44,1.8,0.081,28,68,0.99501,3.36,0.66,11.2,5
10.6,0.48,0.64,2.2,0.111,6,20,0.997,3.26,0.66,11.7,6
9.5,0.86,0.26,1.9,0.079,13,28,0.99712,3.25,0.62,10,5
6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5,5
7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,6
7.1,0.755,0.15,1.8,0.107,20,84,0.99593,3.19,0.5,9.5,5
7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7
5.6,0.62,0.03,1.5,0.08,6,13,0.99498,3.66,0.62,10.1,4
10.2,0.42,0.57,3.4,0.07,4,10,0.9971,3.04,0.63,9.6,5
9.6,0.42,0.35,2.1,0.083,17,38,0.99622,3.23,0.66,11.1,6
10.9,0.37,0.58,4,0.071,17,65,0.99935,3.22,0.78,10.1,5
7.6,0.74,0,1.9,0.1,6,12,0.99521,3.36,0.59,11,5
11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2,6
8.3,0.53,0,1.4,0.07,6,14,0.99593,3.25,0.64,10,6
7.8,0.58,0.02,2,0.073,9,18,0.9968,3.36,0.57,9.5,7
8.2,0.38,0.32,2.5,0.08,24,71,0.99624,3.27,0.85,11,6
8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,9.8,5
6.9,0.58,0.2,1.75,0.058,8,22,0.99322,3.38,0.49,11.7,5
6.4,0.63,0.21,1.6,0.08,12,32,0.99689,3.58,0.66,9.8,5
8.1,0.29,0.36,2.2,0.048,35,53,0.995,3.27,1.01,12.4,7
10,0.35,0.47,2,0.061,6,11,0.99585,3.23,0.52,12,6
7.6,0.9,0.06,2.5,0.079,5,10,0.9967,3.39,0.56,9.8,5
7.2,0.34,0.21,2.5,0.075,41,68,0.99586,3.37,0.54,10.1,6
6.6,0.855,0.02,2.4,0.062,15,23,0.99627,3.54,0.6,11,6
11.9,0.38,0.51,2,0.121,7,20,0.9996,3.24,0.76,10.4,6
7.3,0.39,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4,6
15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,7
12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,5
7.5,0.31,0.41,2.4,0.065,34,60,0.99492,3.34,0.85,11.4,6
9.4,0.395,0.46,4.6,0.094,3,10,0.99639,3.27,0.64,12.2,7
10.6,0.31,0.49,2.5,0.067,6,21,0.9987,3.26,0.86,10.7,6
6.9,0.49,0.19,1.7,0.079,13,26,0.99547,3.38,0.64,9.8,6
7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,5
6.9,0.4,0.24,2.5,0.083,30,45,0.9959,3.26,0.58,10,5
9.5,0.78,0.22,1.9,0.077,6,32,0.9988,3.26,0.56,10.6,6
7.1,0.39,0.12,2.1,0.065,14,24,0.99252,3.3,0.53,13.3,6
7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5
9.5,0.46,0.24,2.7,0.092,14,44,0.998,3.12,0.74,10,6
7.6,0.35,0.6,2.6,0.073,23,44,0.99656,3.38,0.79,11.1,6
8.4,0.715,0.2,2.4,0.076,10,38,0.99735,3.31,0.64,9.4,5
9.5,0.37,0.52,2,0.088,12,51,0.99613,3.29,0.58,11.1,6
7.2,0.37,0.32,2,0.062,15,28,0.9947,3.23,0.73,11.3,7
13.3,0.43,0.58,1.9,0.07,15,40,1.0004,3.06,0.49,9,5
6,0.42,0.19,2,0.075,22,47,0.99522,3.39,0.78,10,6
7,0.78,0.08,2,0.093,10,19,0.9956,3.4,0.47,10,5
8.4,0.29,0.4,1.7,0.067,8,20,0.99603,3.39,0.6,10.5,5
12.4,0.4,0.51,2,0.059,6,24,0.9994,3.04,0.6,9.3,6
9.7,0.69,0.32,2.5,0.088,22,91,0.9979,3.29,0.62,10.1,5
9.9,0.54,0.26,2,0.111,7,60,0.99709,2.94,0.98,10.2,5
8.3,0.56,0.22,2.4,0.082,10,86,0.9983,3.37,0.62,9.5,5
10.2,0.54,0.37,15.4,0.214,55,95,1.00369,3.18,0.77,9,6
5.6,0.66,0,2.5,0.066,7,15,0.99256,3.52,0.58,12.9,5
9.3,0.33,0.45,1.5,0.057,19,37,0.99498,3.18,0.89,11.1,7
7.4,0.36,0.34,1.8,0.075,18,38,0.9933,3.38,0.88,13.6,7
7.9,0.33,0.41,1.5,0.056,6,35,0.99396,3.29,0.71,11,6
9.4,0.43,0.24,2.8,0.092,14,45,0.998,3.19,0.73,10,6
8.8,0.37,0.48,2.1,0.097,39,145,0.9975,3.04,1.03,9.3,5
8.4,0.31,0.29,3.1,0.194,14,26,0.99536,3.22,0.78,12,6
8.3,0.42,0.38,2.5,0.094,24,60,0.9979,3.31,0.7,10.8,6
8.9,0.4,0.51,2.6,0.052,13,27,0.995,3.32,0.9,13.4,7
10.4,0.52,0.45,2,0.08,6,13,0.99774,3.22,0.76,11.4,6
7.5,0.685,0.07,2.5,0.058,5,9,0.99632,3.38,0.55,10.9,4
6.9,0.74,0.03,2.3,0.054,7,16,0.99508,3.45,0.63,11.5,6
10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,7
7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5,6
10.2,0.23,0.37,2.2,0.057,14,36,0.99614,3.23,0.49,9.3,4
7.1,0.685,0.35,2,0.088,9,92,0.9963,3.28,0.62,9.4,5
11.3,0.36,0.66,2.4,0.123,3,8,0.99642,3.2,0.53,11.9,6
12.6,0.31,0.72,2.2,0.072,6,29,0.9987,2.88,0.82,9.8,8
7.2,0.38,0.3,1.8,0.073,31,70,0.99685,3.42,0.59,9.5,6
9.4,0.685,0.26,2.4,0.082,23,143,0.9978,3.28,0.55,9.4,5
6.7,0.28,0.28,2.4,0.012,36,100,0.99064,3.26,0.39,11.7,7
11.6,0.32,0.55,2.8,0.081,35,67,1.0002,3.32,0.92,10.8,7
6.6,0.58,0.02,2.4,0.069,19,40,0.99387,3.38,0.66,12.6,6
8.9,0.62,0.19,3.9,0.17,51,148,0.9986,3.17,0.93,9.2,5
7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5
7.6,0.5,0.29,2.3,0.086,5,14,0.99502,3.32,0.62,11.5,6
9.8,0.44,0.47,2.5,0.063,9,28,0.9981,3.24,0.65,10.8,6
9.6,0.38,0.31,2.5,0.096,16,49,0.9982,3.19,0.7,10,7
8.9,0.48,0.53,4,0.101,3,10,0.99586,3.21,0.59,12.1,7
8.2,0.56,0.23,3.4,0.078,14,104,0.9976,3.28,0.62,9.4,5
8.6,0.55,0.09,3.3,0.068,8,17,0.99735,3.23,0.44,10,5
11.5,0.45,0.5,3,0.078,19,47,1.0003,3.26,1.11,11,6
7,0.38,0.49,2.5,0.097,33,85,0.9962,3.39,0.77,11.4,6
8.3,0.76,0.29,4.2,0.075,12,16,0.9965,3.45,0.68,11.5,6
7.7,0.69,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5,5
10.6,0.44,0.68,4.1,0.114,6,24,0.997,3.06,0.66,13.4,6
6.4,0.31,0.09,1.4,0.066,15,28,0.99459,3.42,0.7,10,7
6.7,0.675,0.07,2.4,0.089,17,82,0.9958,3.35,0.54,10.1,5
8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,6
6.3,0.47,0,1.4,0.055,27,33,0.9922,3.45,0.48,12.3,6
5.8,1.01,0.66,2,0.039,15,88,0.99357,3.66,0.6,11.5,6
9.1,0.68,0.11,2.8,0.093,11,44,0.99888,3.31,0.55,9.5,6
6.2,0.46,0.29,2.1,0.074,32,98,0.99578,3.33,0.62,9.8,5
9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,6
7.3,0.305,0.39,1.2,0.059,7,11,0.99331,3.29,0.52,11.5,6
6.9,0.49,0.1,2.3,0.074,12,30,0.9959,3.42,0.58,10.2,6
9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,6
7.9,0.34,0.42,2,0.086,8,19,0.99546,3.35,0.6,11.4,6
9.1,0.36,0.39,1.8,0.06,21,55,0.99495,3.18,0.82,11,7
8.9,0.745,0.18,2.5,0.077,15,48,0.99739,3.2,0.47,9.7,6
6.7,0.28,0.28,2.4,0.012,36,100,0.99064,3.26,0.39,11.7,7
